Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2019,Prince George's,MD,Passenger,1,1,2,177,179,1.12
November 30 2022,Pacific,WA,Truck,1,0,1,7846,7847,0.01
March 31 2021,Kittitas,WA,Truck,0,0,0,14755,14755,0.00
May 31 2023,Lincoln,WA,Truck,0,0,0,4861,4861,0.00
July 31 2023,Douglas,CO,Passenger,0,1,1,56,57,1.75
November 30 2023,Ventura,CA,Passenger,3,2,5,185,190,2.63
January 31 2020,San Francisco,CA,Passenger,2,1,3,104,107,2.80
September 30 2018,Mercer,NJ,Passenger,0,1,1,20,21,4.76
August 31 2019,Berkshire,MA,Passenger,0,1,1,4,5,20.00
June 30 2020,Kootenai,ID,Passenger,1,0,1,219,220,0.45
August 31 2018,Asotin,WA,Truck,0,0,0,6647,6647,0.00
November 30 2021,Manassas,VA,Passenger,0,1,1,8,9,11.11
September 30 2021,Deschutes,OR,Passenger,1,0,1,113,114,0.88
January 31 2022,Greene,MO,Passenger,0,1,1,29,30,3.33
October 31 2022,Hardin,KY,Passenger,1,0,1,61,62,1.61
July 31 2019,Kent,MI,Passenger,0,1,1,23,24,4.17
August 31 2020,Queens,NY,Passenger,1,0,1,52,53,1.89
September 30 2018,Allegheny,PA,Passenger,1,0,1,84,85,1.18
December 31 2017,Allegheny,PA,Passenger,1,0,1,85,86,1.16
November 30 2020,Montgomery,OH,Passenger,0,1,1,53,54,1.85
November 30 2020,Nueces,TX,Passenger,1,0,1,85,86,1.16
September 30 2019,Charles,MD,Passenger,0,1,1,89,90,1.11
October 31 2021,Okaloosa,FL,Passenger,0,1,1,120,121,0.83
August 31 2022,Mercer,NJ,Passenger,0,1,1,12,13,7.69
April 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
June 30 2017,Montgomery,TN,Passenger,1,0,1,287,288,0.35
February 28 2019,Clark,NV,Passenger,4,2,6,717,723,0.83
February 28 2023,Benton,WA,Passenger,988,520,1508,135812,137320,1.10
December 31 2022,Kitsap,WA,Truck,34,0,34,52913,52947,0.06
August 31 2018,Wahkiakum,WA,Truck,0,0,0,1691,1691,0.00
February 28 2019,Walla Walla,WA,Passenger,43,54,97,36064,36161,0.27
September 30 2022,Snohomish,WA,Truck,59,0,59,123017,123076,0.05
May 31 2020,Skamania,WA,Passenger,30,16,46,8521,8567,0.54
December 31 2021,Norfolk,VA,Passenger,3,3,6,316,322,1.86
November 30 2017,Mason,WA,Truck,0,0,0,19540,19540,0.00
December 31 2020,Okanogan,WA,Passenger,55,36,91,26066,26157,0.35
October 31 2023,Hillsborough,FL,Passenger,1,2,3,78,81,3.70
June 30 2018,San Francisco,CA,Passenger,1,1,2,132,134,1.49
February 28 2017,Eagle,CO,Passenger,1,0,1,8,9,11.11
May 31 2023,Orange,NC,Passenger,0,1,1,3,4,25.00
May 31 2021,Thurston,WA,Passenger,1543,852,2395,197951,200346,1.20
February 28 2019,Whitman,WA,Truck,0,0,0,8493,8493,0.00
November 30 2020,,,Passenger,4,1,5,356,361,1.39
January 31 2023,DuPage,IL,Passenger,0,1,1,36,37,2.70
March 31 2017,Middlesex,MA,Passenger,1,0,1,154,155,0.65
January 31 2017,Mercer,NJ,Passenger,0,1,1,22,23,4.35
November 30 2020,Kauai,HI,Passenger,1,0,1,17,18,5.56
April 30 2023,Boulder,CO,Passenger,2,0,2,35,37,5.41
January 31 2019,Santa Cruz,CA,Passenger,1,0,1,44,45,2.22
May 31 2023,Skagit,WA,Passenger,1079,403,1482,88968,90450,1.64
September 30 2020,Kootenai,ID,Passenger,1,0,1,221,222,0.45
March 31 2018,Multnomah,OR,Passenger,3,4,7,819,826,0.85
February 28 2023,Saratoga,NY,Passenger,1,1,2,38,40,5.00
August 31 2020,Denver,CO,Passenger,1,0,1,114,115,0.87
January 31 2023,Richland,SC,Passenger,0,1,1,110,111,0.90
July 31 2019,Carroll,NH,Passenger,0,1,1,3,4,25.00
March 31 2023,Richmond,GA,Passenger,0,1,1,62,63,1.59
March 31 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
June 30 2022,Randolph,NC,Passenger,1,0,1,6,7,14.29
January 31 2022,Whitman,WA,Passenger,69,58,127,21951,22078,0.58
April 30 2021,Lincoln,WA,Truck,0,0,0,4750,4750,0.00
March 31 2017,Alameda,CA,Passenger,3,1,4,387,391,1.02
June 30 2020,Pima,AZ,Passenger,3,1,4,358,362,1.10
April 30 2022,Miami-Dade,FL,Passenger,1,0,1,83,84,1.19
February 28 2019,Collin,TX,Passenger,1,1,2,145,147,1.36
February 28 2017,Riverside,CA,Passenger,1,1,2,839,841,0.24
October 31 2023,Shasta,CA,Passenger,1,0,1,19,20,5.00
February 28 2021,Fort Bend,TX,Passenger,1,0,1,41,42,2.38
April 30 2022,San Juan,WA,Passenger,494,155,649,14118,14767,4.39
September 30 2021,Kern,CA,Passenger,0,1,1,199,200,0.50
April 30 2023,Douglas,NE,Passenger,1,1,2,30,32,6.25
May 31 2023,Sacramento,CA,Passenger,4,0,4,156,160,2.50
November 30 2021,Okanogan,WA,Truck,0,0,0,16685,16685,0.00
August 31 2022,Burlington,NJ,Passenger,0,2,2,99,101,1.98
August 31 2023,Orange,CA,Passenger,8,3,11,283,294,3.74
November 30 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
July 31 2023,District of Columbia,DC,Passenger,4,0,4,139,143,2.80
December 31 2021,Wood,OH,Passenger,0,1,1,7,8,12.50
May 31 2018,Collier,FL,Passenger,1,0,1,22,23,4.35
February 28 2017,Lewis,WA,Passenger,45,31,76,54971,55047,0.14
November 30 2018,Thurston,WA,Passenger,707,567,1274,195405,196679,0.65
September 30 2020,Hillsborough,FL,Passenger,0,1,1,173,174,0.57
February 28 2023,Asotin,WA,Truck,0,0,0,6664,6664,0.00
September 30 2018,Franklin,WA,Passenger,37,65,102,58509,58611,0.17
March 31 2021,Broward,FL,Passenger,1,0,1,115,116,0.86
June 30 2017,Jackson,MO,Passenger,1,0,1,61,62,1.61
February 28 2019,Middlesex,MA,Passenger,1,1,2,121,123,1.63
March 31 2022,Stevens,WA,Truck,0,0,0,18990,18990,0.00
July 31 2022,Denton,TX,Passenger,1,0,1,63,64,1.56
November 30 2022,Gwinnett,GA,Passenger,1,0,1,50,51,1.96
June 30 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
June 30 2020,Clay,FL,Passenger,0,1,1,81,82,1.22
July 31 2018,Jefferson,NY,Passenger,0,1,1,230,231,0.43
April 30 2023,Spokane,WA,Truck,33,0,33,101718,101751,0.03
September 30 2019,Garfield,WA,Truck,0,0,0,969,969,0.00
August 31 2017,El Paso,CO,Passenger,2,0,2,780,782,0.26
September 30 2018,Tarrant,TX,Passenger,1,0,1,214,215,0.47
July 31 2022,Snohomish,WA,Passenger,8658,2563,11221,531267,542488,2.07
March 31 2023,Asotin,WA,Truck,0,0,0,6645,6645,0.00
March 31 2019,Spokane,WA,Truck,1,0,1,94004,94005,0.00
January 31 2023,Okanogan,WA,Passenger,107,53,160,26140,26300,0.61
December 31 2022,Chelan,WA,Truck,13,0,13,23088,23101,0.06
October 31 2020,Sedgwick,KS,Passenger,1,1,2,95,97,2.06
March 31 2022,Harrison,MS,Passenger,2,0,2,48,50,4.00
February 28 2022,Greene,MO,Passenger,0,1,1,29,30,3.33
December 31 2019,Middlesex,MA,Passenger,1,1,2,108,110,1.82
February 28 2022,Ferry,WA,Truck,0,0,0,3566,3566,0.00
November 30 2018,Harnett,NC,Passenger,1,0,1,241,242,0.41
May 31 2020,Cowlitz,WA,Passenger,136,115,251,72351,72602,0.35
January 31 2019,Twin Falls,ID,Passenger,0,1,1,21,22,4.55
February 28 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
March 31 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
October 31 2017,Walla Walla,WA,Truck,0,0,0,13257,13257,0.00
July 31 2022,San Bernardino,CA,Passenger,1,1,2,317,319,0.63
May 31 2023,Berkeley,SC,Passenger,0,1,1,102,103,0.97
August 31 2020,Dakota,MN,Passenger,0,1,1,35,36,2.78
July 31 2022,Larimer,CO,Passenger,1,0,1,43,44,2.27
January 31 2023,Larimer,CO,Passenger,1,0,1,37,38,2.63
January 31 2023,Champaign,IL,Passenger,1,0,1,12,13,7.69
July 31 2021,Walla Walla,WA,Truck,0,0,0,14054,14054,0.00
July 31 2022,Columbia,WA,Passenger,7,0,7,2427,2434,0.29
June 30 2018,Kootenai,ID,Passenger,0,1,1,218,219,0.46
June 30 2023,Asotin,WA,Passenger,36,22,58,12408,12466,0.47
July 31 2017,Utah,UT,Passenger,0,1,1,157,158,0.63
April 30 2020,Lewis,WA,Passenger,99,106,205,58642,58847,0.35
April 30 2019,Columbia,WA,Truck,0,0,0,1531,1531,0.00
July 31 2021,Yamhill,OR,Passenger,1,0,1,39,40,2.50
January 31 2021,Kern,CA,Passenger,0,1,1,215,216,0.46
January 31 2017,Cascade,MT,Passenger,0,1,1,63,64,1.56
January 31 2018,Hamilton,IN,Passenger,1,0,1,53,54,1.85
January 31 2021,Bradley,TN,Passenger,1,0,1,0,1,100.00
May 31 2023,Rockingham,NH,Passenger,1,0,1,14,15,6.67
September 30 2020,Spokane,WA,Truck,1,0,1,99847,99848,0.00
May 31 2019,Whitman,WA,Passenger,31,45,76,22703,22779,0.33
January 31 2019,Riverside,CA,Passenger,2,2,4,667,671,0.60
February 28 2022,Columbia,WA,Truck,0,0,0,1570,1570,0.00
September 30 2018,Richland,SC,Passenger,0,1,1,168,169,0.59
July 31 2020,Denton,TX,Passenger,1,0,1,91,92,1.09
December 31 2017,Norfolk,MA,Passenger,1,0,1,39,40,2.50
May 31 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
April 30 2023,Salt Lake,UT,Passenger,0,1,1,103,104,0.96
November 30 2019,Fresno,CA,Passenger,1,0,1,200,201,0.50
January 31 2019,Prince William,VA,Passenger,0,4,4,256,260,1.54
April 30 2018,Arlington,VA,Passenger,1,2,3,176,179,1.68
April 30 2019,New Haven,CT,Passenger,0,2,2,49,51,3.92
October 31 2021,Charleston,SC,Passenger,2,1,3,86,89,3.37
October 31 2022,St. Clair,IL,Passenger,2,0,2,115,117,1.71
September 30 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
August 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
February 28 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
January 31 2019,Thurston,WA,Truck,0,0,0,54921,54921,0.00
October 31 2020,Anne Arundel,MD,Passenger,1,1,2,408,410,0.49
August 31 2020,Grant,WA,Truck,0,0,0,27233,27233,0.00
October 31 2021,Greene,MO,Passenger,0,1,1,31,32,3.12
May 31 2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17
January 31 2017,Union,OH,Passenger,1,0,1,4,5,20.00
September 30 2018,Prince William,VA,Passenger,0,4,4,259,263,1.52
February 29 2020,Hawaii,HI,Passenger,1,0,1,62,63,1.59
February 28 2017,Wahkiakum,WA,Passenger,0,1,1,2843,2844,0.04
June 30 2018,Prince William,VA,Passenger,0,4,4,263,267,1.50
March 31 2023,Mason,WA,Passenger,402,200,602,46472,47074,1.28
March 31 2021,Lewis,WA,Truck,0,0,0,26810,26810,0.00
August 31 2022,Clackamas,OR,Passenger,2,0,2,134,136,1.47
November 30 2023,Saratoga,NY,Passenger,1,1,2,30,32,6.25
September 30 2022,Houston,GA,Passenger,1,0,1,29,30,3.33
September 30 2020,Bucks,PA,Passenger,1,0,1,22,23,4.35
February 28 2021,Queens,NY,Passenger,2,0,2,53,55,3.64
January 31 2022,Queens,NY,Passenger,1,0,1,55,56,1.79
December 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
June 30 2017,Columbia,WA,Truck,0,0,0,1531,1531,0.00
January 31 2023,Riverside,CA,Passenger,7,0,7,401,408,1.72
September 30 2018,Clackamas,OR,Passenger,0,1,1,215,216,0.46
October 31 2022,Hillsborough,FL,Passenger,1,2,3,116,119,2.52
December 31 2020,Polk,FL,Passenger,1,0,1,62,63,1.59
December 31 2022,Carroll,MD,Passenger,0,1,1,20,21,4.76
August 31 2022,New London,CT,Passenger,2,5,7,188,195,3.59
December 31 2021,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
April 30 2017,Jefferson,WA,Truck,0,0,0,9442,9442,0.00
June 30 2022,Grays Harbor,WA,Passenger,210,160,370,49030,49400,0.75
June 30 2020,San Mateo,CA,Passenger,0,1,1,119,120,0.83
April 30 2023,Kitsap,WA,Passenger,3061,1230,4291,176236,180527,2.38
August 31 2022,Stevens,WA,Passenger,76,56,132,30016,30148,0.44
April 30 2021,Skagit,WA,Passenger,562,268,830,91952,92782,0.89
July 31 2018,Norfolk,VA,Passenger,2,2,4,334,338,1.18
March 31 2023,Chelan,WA,Truck,23,0,23,23159,23182,0.10
August 31 2018,Skamania,WA,Passenger,14,10,24,8669,8693,0.28
June 30 2021,Garfield,WA,Passenger,0,3,3,1373,1376,0.22
April 30 2023,Yakima,WA,Truck,11,0,11,61163,61174,0.02
August 31 2022,King,WA,Truck,204,2,206,179975,180181,0.11
May 31 2021,Burlington,NJ,Passenger,0,1,1,129,130,0.77
August 31 2023,Yellowstone,MT,Passenger,0,1,1,13,14,7.14
January 31 2023,Hudson,NJ,Passenger,1,0,1,30,31,3.23
April 30 2018,Pend Oreille,WA,Passenger,4,5,9,9477,9486,0.09
November 30 2020,El Paso,CO,Passenger,2,1,3,712,715,0.42
October 31 2021,Garfield,WA,Truck,0,0,0,998,998,0.00
February 28 2017,Okanogan,WA,Passenger,3,15,18,25670,25688,0.07
April 30 2017,Mason,WA,Passenger,49,64,113,42997,43110,0.26
February 28 2023,James City,VA,Passenger,1,0,1,40,41,2.44
November 30 2018,Klamath,OR,Passenger,1,0,1,37,38,2.63
March 31 2023,Sedgwick,KS,Passenger,1,1,2,61,63,3.17
January 31 2022,Nueces,TX,Passenger,1,1,2,62,64,3.12
August 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
July 31 2019,Cowlitz,WA,Truck,0,0,0,28867,28867,0.00
September 30 2020,Stevens,WA,Truck,0,0,0,18701,18701,0.00
April 30 2020,Lincoln,WA,Truck,0,0,0,4624,4624,0.00
August 31 2021,Franklin,WA,Truck,0,0,0,20716,20716,0.00
July 31 2022,Burlington,NJ,Passenger,0,2,2,101,103,1.94
April 30 2019,Mecklenburg,NC,Passenger,1,0,1,85,86,1.16
December 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
September 30 2020,Charles,MD,Passenger,1,1,2,78,80,2.50
August 31 2022,Nueces,TX,Passenger,1,1,2,52,54,3.70
March 31 2021,Washoe,NV,Passenger,1,0,1,103,104,0.96
May 31 2018,Tulsa,OK,Passenger,0,1,1,49,50,2.00
April 30 2023,Mercer,NJ,Passenger,0,1,1,11,12,8.33
December 31 2021,Owyhee,ID,Passenger,1,0,1,2,3,33.33
June 30 2017,Clark,WA,Truck,0,0,0,77645,77645,0.00
March 31 2017,Garfield,WA,Truck,0,0,0,939,939,0.00
June 30 2017,Benton,WA,Truck,0,0,0,40056,40056,0.00
May 31 2017,Pima,AZ,Passenger,0,2,2,454,456,0.44
April 30 2018,Walla Walla,WA,Passenger,34,40,74,35452,35526,0.21
December 31 2022,El Paso,CO,Passenger,3,2,5,547,552,0.91
October 31 2023,Elmore,ID,Passenger,1,0,1,9,10,10.00
September 30 2021,Eagle,CO,Passenger,1,0,1,10,11,9.09
June 30 2021,Douglas,WA,Truck,0,0,0,12681,12681,0.00
December 31 2017,Douglas,WA,Truck,0,0,0,11756,11756,0.00
February 28 2019,Pacific,WA,Truck,0,0,0,7631,7631,0.00
May 31 2019,Saratoga,NY,Passenger,1,0,1,53,54,1.85
February 28 2019,Lumpkin,GA,Passenger,1,0,1,6,7,14.29
December 31 2021,Pierce,WA,Passenger,4234,2122,6356,555408,561764,1.13
April 30 2017,Walla Walla,WA,Passenger,22,24,46,34829,34875,0.13
February 28 2019,Clallam,WA,Truck,0,0,0,21576,21576,0.00
November 30 2020,Santa Clara,CA,Passenger,6,2,8,286,294,2.72
July 31 2019,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
June 30 2019,Lewis,WA,Passenger,99,92,191,59116,59307,0.32
December 31 2021,Goochland,VA,Passenger,3,2,5,187,192,2.60
February 28 2022,Harford,MD,Passenger,1,1,2,51,53,3.77
March 31 2022,Plaquemines,LA,Passenger,0,1,1,18,19,5.26
July 31 2023,Plaquemines,LA,Passenger,1,1,2,15,17,11.76
June 30 2023,Polk,OR,Passenger,1,1,2,16,18,11.11
September 30 2023,Galveston,TX,Passenger,0,1,1,14,15,6.67
May 31 2021,Juneau,AK,Passenger,0,1,1,24,25,4.00
February 28 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
December 31 2021,Marion,IA,Passenger,1,0,1,0,1,100.00
April 30 2021,Honolulu,HI,Passenger,5,2,7,427,434,1.61
November 30 2019,Hillsborough,FL,Passenger,0,1,1,189,190,0.53
January 31 2022,Douglas,WA,Truck,0,0,0,12679,12679,0.00
July 31 2019,Caddo,LA,Passenger,0,1,1,22,23,4.35
June 30 2023,Bartow,GA,Passenger,0,1,1,2,3,33.33
September 30 2022,Ferry,WA,Passenger,22,4,26,4398,4424,0.59
June 30 2019,Riverside,CA,Passenger,2,2,4,650,654,0.61
October 31 2023,San Joaquin,CA,Passenger,0,1,1,61,62,1.61
October 31 2019,Frederick,MD,Passenger,1,1,2,87,89,2.25
March 31 2022,Hamilton,OH,Passenger,1,0,1,36,37,2.70
October 31 2023,Kitsap,WA,Passenger,3675,1419,5094,173008,178102,2.86
January 31 2018,Okanogan,WA,Passenger,7,19,26,25699,25725,0.10
June 30 2018,Douglas,WA,Passenger,43,31,74,27651,27725,0.27
April 30 2019,Cowlitz,WA,Passenger,89,101,190,72741,72931,0.26
October 31 2023,Yakima,WA,Truck,15,0,15,59661,59676,0.03
December 31 2017,Pinal,AZ,Passenger,2,0,2,217,219,0.91
May 31 2020,Fort Bend,TX,Passenger,1,0,1,46,47,2.13
October 31 2022,Pulaski,AR,Passenger,3,0,3,28,31,9.68
February 28 2023,Fulton,GA,Passenger,1,0,1,54,55,1.82
May 31 2023,Whitman,WA,Passenger,144,76,220,21991,22211,0.99
February 28 2019,Franklin,WA,Truck,0,0,0,19110,19110,0.00
January 31 2021,Clark,WA,Passenger,2459,1211,3670,319341,323011,1.14
February 28 2023,Howard,MD,Passenger,0,2,2,51,53,3.77
August 31 2018,Manatee,FL,Passenger,1,0,1,39,40,2.50
April 30 2022,Ray,MO,Passenger,0,1,1,1,2,50.00
March 31 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
January 31 2021,Kitsap,WA,Passenger,1606,764,2370,179260,181630,1.30
March 31 2020,Alameda,CA,Passenger,3,1,4,288,292,1.37
May 31 2020,Douglas,WA,Truck,0,0,0,12275,12275,0.00
December 31 2018,Douglas,NE,Passenger,0,1,1,68,69,1.45
July 31 2017,Montgomery,PA,Passenger,1,0,1,38,39,2.56
July 31 2017,San Mateo,CA,Passenger,0,1,1,153,154,0.65
June 30 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
January 31 2023,Collin,TX,Passenger,3,0,3,55,58,5.17
September 30 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
November 30 2023,Hoke,NC,Passenger,1,0,1,54,55,1.82
December 31 2022,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
June 30 2017,Mercer,NJ,Passenger,0,1,1,20,21,4.76
February 28 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
January 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
May 31 2019,Douglas,WA,Passenger,56,36,92,28003,28095,0.33
August 31 2018,Deschutes,OR,Passenger,2,0,2,168,170,1.18
May 31 2021,Ferry,WA,Truck,0,0,0,3662,3662,0.00
October 31 2019,Charleston,SC,Passenger,1,0,1,116,117,0.85
February 28 2022,Virginia Beach,VA,Passenger,3,0,3,569,572,0.52
June 30 2019,San Juan,WA,Passenger,212,72,284,14405,14689,1.93
November 30 2018,Grays Harbor,WA,Truck,0,0,0,20338,20338,0.00
April 30 2019,Clallam,WA,Truck,0,0,0,21679,21679,0.00
August 31 2017,Montgomery,TX,Passenger,1,0,1,61,62,1.61
July 31 2021,Douglas,NE,Passenger,1,1,2,55,57,3.51
November 30 2018,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
August 31 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
October 31 2020,Penobscot,ME,Passenger,0,1,1,13,14,7.14
July 31 2018,Madison,ID,Passenger,1,0,1,40,41,2.44
September 30 2022,Plaquemines,LA,Passenger,1,1,2,17,19,10.53
November 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
June 30 2023,Stevens,WA,Passenger,113,68,181,29677,29858,0.61
June 30 2019,Franklin,WA,Truck,0,0,0,19267,19267,0.00
August 31 2020,Goochland,VA,Passenger,3,2,5,256,261,1.92
February 28 2019,Marion,OR,Passenger,1,0,1,118,119,0.84
October 31 2021,Marion,IA,Passenger,1,0,1,1,2,50.00
June 30 2023,Hamilton,OH,Passenger,1,0,1,30,31,3.23
October 31 2019,Putnam,TN,Passenger,0,1,1,3,4,25.00
July 31 2021,Pend Oreille,WA,Passenger,15,7,22,9262,9284,0.24
August 31 2021,Skamania,WA,Truck,0,0,0,4034,4034,0.00
December 31 2017,Benton,WA,Truck,0,0,0,40576,40576,0.00
May 31 2017,New Haven,CT,Passenger,0,1,1,59,60,1.67
March 31 2017,Bexar,TX,Passenger,1,2,3,1093,1096,0.27
January 31 2021,Benton,WA,Passenger,452,358,810,135127,135937,0.60
August 31 2018,Richmond,GA,Passenger,0,1,1,94,95,1.05
May 31 2020,Stevens,WA,Truck,0,0,0,18595,18595,0.00
November 30 2023,Skagit,WA,Passenger,1286,466,1752,85845,87597,2.00
June 30 2017,Monterey,CA,Passenger,0,1,1,206,207,0.48
May 31 2020,Montgomery,AL,Passenger,0,1,1,38,39,2.56
January 31 2021,Shelby,OH,Passenger,0,1,1,1,2,50.00
September 30 2018,Yakima,WA,Truck,0,0,0,58687,58687,0.00
August 31 2017,Island,WA,Passenger,124,150,274,60570,60844,0.45
August 31 2019,Kitsap,WA,Truck,1,0,1,54159,54160,0.00
February 28 2022,Yamhill,OR,Passenger,1,0,1,37,38,2.63
January 31 2017,Ferry,WA,Passenger,2,1,3,4387,4390,0.07
July 31 2023,San Joaquin,CA,Passenger,0,1,1,68,69,1.45
June 30 2020,San Francisco,CA,Passenger,1,1,2,97,99,2.02
October 31 2020,Henrico,VA,Passenger,0,1,1,17,18,5.56
October 31 2021,Larimer,CO,Passenger,1,0,1,48,49,2.04
July 31 2020,Mercer,NJ,Passenger,0,1,1,15,16,6.25
February 28 2019,Thurston,WA,Truck,0,0,0,54904,54904,0.00
November 30 2018,Ferry,WA,Truck,0,0,0,3582,3582,0.00
March 31 2022,Whitman,WA,Passenger,79,54,133,22025,22158,0.60
November 30 2022,Harris,TX,Passenger,1,0,1,138,139,0.72
February 29 2020,Klickitat,WA,Truck,0,0,0,8300,8300,0.00
November 30 2019,Spokane,WA,Truck,1,0,1,96204,96205,0.00
November 30 2019,Klickitat,WA,Passenger,45,38,83,15669,15752,0.53
December 31 2021,Anne Arundel,MD,Passenger,4,1,5,363,368,1.36
April 30 2017,Marion,OR,Passenger,1,0,1,185,186,0.54
August 31 2021,Montgomery,TX,Passenger,1,1,2,46,48,4.17
March 31 2023,Houston,GA,Passenger,1,0,1,25,26,3.85
January 31 2021,Arlington,VA,Passenger,0,1,1,144,145,0.69
February 28 2023,Jackson,OK,Passenger,0,1,1,29,30,3.33
September 30 2019,Juneau,AK,Passenger,0,2,2,27,29,6.90
September 30 2023,Kootenai,ID,Truck,1,0,1,21,22,4.55
August 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
July 31 2023,Hawaii,HI,Passenger,1,0,1,28,29,3.45
November 30 2021,Yamhill,OR,Passenger,1,0,1,37,38,2.63
May 31 2018,Klickitat,WA,Passenger,26,30,56,15105,15161,0.37
August 31 2020,Anne Arundel,MD,Passenger,0,1,1,405,406,0.25
August 31 2020,Sedgwick,KS,Passenger,1,1,2,93,95,2.11
October 31 2023,Garfield,OK,Passenger,1,0,1,12,13,7.69
March 31 2017,Franklin,OH,Passenger,0,1,1,115,116,0.86
July 31 2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
February 29 2020,Carson City,NV,Passenger,1,0,1,10,11,9.09
March 31 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
November 30 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
January 31 2017,Douglas,OR,Passenger,0,1,1,90,91,1.10
February 28 2023,Chelan,WA,Truck,19,0,19,23147,23166,0.08
June 30 2020,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
October 31 2020,Hennepin,MN,Passenger,2,0,2,84,86,2.33
November 30 2020,Klamath,OR,Passenger,1,0,1,34,35,2.86
April 30 2018,Dakota,MN,Passenger,0,2,2,39,41,4.88
August 31 2018,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
December 31 2019,Wilson,TX,Passenger,0,1,1,9,10,10.00
September 30 2023,Mercer,NJ,Passenger,0,1,1,8,9,11.11
April 30 2020,Island,WA,Truck,1,0,1,21134,21135,0.00
September 30 2019,Whatcom,WA,Passenger,922,460,1382,151305,152687,0.91
June 30 2019,Kitsap,WA,Truck,1,0,1,54092,54093,0.00
August 31 2019,Klickitat,WA,Truck,0,0,0,8291,8291,0.00
March 31 2021,Honolulu,HI,Passenger,5,2,7,433,440,1.59
July 31 2019,New London,CT,Passenger,0,2,2,242,244,0.82
May 31 2022,Orange,CA,Passenger,5,3,8,386,394,2.03
February 28 2022,Cowlitz,WA,Truck,0,1,1,28897,28898,0.00
April 30 2019,San Juan,WA,Passenger,204,69,273,14328,14601,1.87
July 31 2019,King,WA,Truck,5,1,6,182249,182255,0.00
May 31 2018,Travis,TX,Passenger,1,1,2,195,197,1.02
September 30 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
October 31 2022,Broward,FL,Passenger,1,0,1,75,76,1.32
October 31 2022,Henrico,VA,Passenger,0,1,1,8,9,11.11
April 30 2018,Stevens,WA,Truck,0,0,0,18509,18509,0.00
June 30 2022,Suffolk,VA,Passenger,1,0,1,122,123,0.81
March 31 2019,Alameda,CA,Passenger,3,2,5,322,327,1.53
October 31 2019,Santa Clara,CA,Passenger,6,2,8,375,383,2.09
February 28 2019,San Juan,WA,Truck,0,0,0,5796,5796,0.00
April 30 2022,Lewis,WA,Passenger,231,171,402,59501,59903,0.67
September 30 2017,Snohomish,WA,Passenger,1911,974,2885,514324,517209,0.56
October 31 2020,Denton,TX,Passenger,1,0,1,87,88,1.14
March 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
November 30 2018,Dale,AL,Passenger,0,1,1,56,57,1.75
May 31 2022,Stafford,VA,Passenger,2,1,3,93,96,3.12
March 31 2021,Hamilton,IN,Passenger,2,0,2,38,40,5.00
February 28 2021,Pennington,SD,Passenger,1,0,1,35,36,2.78
April 30 2021,Los Angeles,CA,Passenger,9,11,20,936,956,2.09
September 30 2017,Latah,ID,Passenger,0,1,1,93,94,1.06
July 31 2019,Franklin,WA,Truck,0,0,0,19364,19364,0.00
November 30 2023,Montgomery,OH,Passenger,0,1,1,36,37,2.70
June 30 2021,Whitman,WA,Truck,0,0,0,8589,8589,0.00
June 30 2021,Pierce,WA,Passenger,3469,1996,5465,560189,565654,0.97
