Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
June 30 2018,Polk,FL,Passenger,1,0,1,67,68,1.47
August 31 2019,Whitman,WA,Passenger,34,44,78,22704,22782,0.34
January 31 2020,Loudoun,VA,Passenger,1,0,1,90,91,1.10
October 31 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
July 31 2023,Orange,NC,Passenger,0,1,1,3,4,25.00
November 30 2022,Lewis,WA,Passenger,258,178,436,59971,60407,0.72
July 31 2018,Snohomish,WA,Passenger,2404,1294,3698,522618,526316,0.70
March 31 2023,Chesapeake,VA,Passenger,3,2,5,295,300,1.67
July 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
November 30 2020,Howard,IN,Passenger,0,1,1,3,4,25.00
May 31 2022,Arlington,VA,Passenger,1,0,1,131,132,0.76
June 30 2018,Benton,WA,Truck,0,0,0,41026,41026,0.00
July 31 2023,Klickitat,WA,Truck,11,0,11,8203,8214,0.13
November 30 2018,Fresno,CA,Passenger,1,0,1,196,197,0.51
October 31 2018,Garfield,WA,Truck,0,0,0,959,959,0.00
August 31 2020,Houston,GA,Passenger,1,0,1,52,53,1.89
June 30 2023,Arlington,VA,Passenger,1,0,1,109,110,0.91
April 30 2022,Ulster,NY,Passenger,1,0,1,12,13,7.69
June 30 2022,Wichita,TX,Passenger,1,0,1,40,41,2.44
March 31 2020,Lake,CA,Passenger,0,1,1,9,10,10.00
May 31 2020,El Paso,TX,Passenger,3,0,3,438,441,0.68
May 31 2019,Whatcom,WA,Truck,2,0,2,42822,42824,0.00
August 31 2019,El Paso,CO,Passenger,2,2,4,743,747,0.54
January 31 2020,Pinal,AZ,Passenger,1,0,1,196,197,0.51
July 31 2022,Pacific,WA,Passenger,64,71,135,15822,15957,0.85
October 31 2021,Burlington,NJ,Passenger,0,1,1,118,119,0.84
November 30 2020,Lake,IL,Passenger,2,0,2,167,169,1.18
August 31 2022,Howard,MD,Passenger,0,2,2,56,58,3.45
February 28 2022,Montgomery,TX,Passenger,1,0,1,39,40,2.50
November 30 2023,Collin,TX,Passenger,2,0,2,25,27,7.41
August 31 2020,Howard,IN,Passenger,0,1,1,3,4,25.00
November 30 2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
July 31 2019,Grays Harbor,WA,Passenger,82,85,167,47994,48161,0.35
September 30 2017,Maricopa,AZ,Passenger,2,1,3,1674,1677,0.18
August 31 2019,Deschutes,OR,Passenger,3,0,3,158,161,1.86
August 31 2017,Clark,WA,Truck,0,0,0,77897,77897,0.00
June 30 2019,Norfolk,VA,Passenger,2,1,3,352,355,0.85
November 30 2018,Mecklenburg,NC,Passenger,1,0,1,80,81,1.23
April 30 2020,Clay,FL,Passenger,0,1,1,79,80,1.25
August 31 2017,Nassau,NY,Passenger,1,1,2,40,42,4.76
February 28 2022,Hudson,NJ,Passenger,2,0,2,38,40,5.00
May 31 2019,Valencia,NM,Passenger,1,0,1,9,10,10.00
August 31 2018,Kitsap,WA,Passenger,828,488,1316,179311,180627,0.73
December 31 2022,Clallam,WA,Passenger,483,262,745,49412,50157,1.49
February 28 2022,Denton,TX,Passenger,1,0,1,74,75,1.33
December 31 2019,Chelan,WA,Truck,0,0,0,22551,22551,0.00
December 31 2022,Chesapeake,VA,Passenger,3,2,5,306,311,1.61
